product_id,product_category,sub_type,model_name,capacity_tons,capacity_liters,capacity_kg,capacity_place_settings,technology,feature_1,energy_rating_stars,color,price_inr,manufacturing_date,warranty_years,customer_rating,city,platform,discount_offered,availability,warranty_duration_months,review_sentiment,return_status,complaint_text,resolved_status,review_date,reviewer_location,product_name,username
1,Fans,Ceiling Fan,Ambrose,NULL,NULL,NULL,NULL,BLDC Motor,Remote Control,5,White,3500,2023-05-12,2,4.5,Mumbai,Amazon,10,In Stock,24,Positive,No,NULL,Resolved,2023-06-15,Mumbai,Havells Ambrose 1200mm Ceiling Fan,user123
2,Air Conditioner,Split AC,Lloyd GLS18I5FWBEV,1.5,NULL,NULL,NULL,Inverter,5 in 1 Convertible,5,White,45000,2023-04-20,1,4.2,Delhi,Flipkart,15,In Stock,12,Positive,No,NULL,Resolved,2023-05-25,Delhi,Lloyd 1.5 Ton 5 Star Inverter Split AC,user456
3,Washing Machine,Top Load,Lloyd LWMT75,NULL,NULL,7.5,NULL,5D Wash,In-built Heater,5,Grey,18000,2023-03-10,2,4,Bangalore,Reliance Digital,5,In Stock,24,Positive,No,NULL,Resolved,2023-04-12,Bangalore,Lloyd 7.5 kg 5 Star Fully-Automatic Top Load Washing Machine,user789
4,Refrigerator,Single Door,Lloyd GLDF205SBBT2EB,NULL,195,NULL,NULL,Direct Cool,Base stand with drawer,5,Blue,16000,2023-02-15,1,4.3,Chennai,Tata Cliq,12,In Stock,12,Positive,No,NULL,Resolved,2023-03-20,Chennai,Lloyd 195 L 5 Star Inverter Direct Cool Single Door Refrigerator,user101
5,Water Purifier,RO,Max,NULL,7,NULL,NULL,RO+UV,Mineralz,NULL,Black,12000,2023-01-25,1,4.6,Hyderabad,Amazon,10,In Stock,12,Positive,No,NULL,Resolved,2023-02-28,Hyderabad,Havells Max 7-litres RO+UV Water Purifier,user202
6,Fans,Exhaust Fan,Ventilair DX,NULL,NULL,NULL,NULL,NULL,Low Noise,NULL,White,1500,2023-06-01,1,4.1,Kolkata,Flipkart,8,In Stock,12,Positive,No,NULL,Resolved,2023-07-05,Kolkata,Havells Ventilair DX 200mm Exhaust Fan,user303
7,Air Cooler,Personal,Fria,NULL,25,NULL,NULL,Honeycomb Pads,Ice Chamber,NULL,White,6000,2023-05-18,1,3.9,Pune,Croma,10,In Stock,12,Neutral,No,NULL,Resolved,2023-06-22,Pune,Havells Fria 25L Personal Air Cooler,user404
8,Dishwasher,NULL,Lloyd Puro Hygiene+,NULL,NULL,NULL,14,NULL,Half Load,NULL,Silver,35000,2023-04-05,2,4.4,Ahmedabad,Vijay Sales,15,In Stock,24,Positive,No,NULL,Resolved,2023-05-10,Ahmedabad,Lloyd Puro Hygiene+ 14 Place Settings Dishwasher,user505
9,Geyser,Storage,Adonia R,NULL,25,NULL,NULL,Color changing LED,Feather Touch,5,White,13000,2023-03-22,2,4.7,Jaipur,Amazon,12,In Stock,24,Positive,No,NULL,Resolved,2023-04-26,Jaipur,Havells Adonia R 25 L Storage Water Heater,user606
10,Kitchen Appliances,Mixer Grinder,Silencio,NULL,NULL,NULL,NULL,Digital Display,Hands-free operation,NULL,Black,8000,2023-02-08,2,4.2,Lucknow,Flipkart,10,In Stock,24,Positive,No,NULL,Resolved,2023-03-15,Lucknow,Havells Silencio 750W Mixer Grinder,user707
11,Fans,Pedestal Fan,V3,NULL,NULL,NULL,NULL,Jerk-free Oscillation,Aerodynamic Blades,NULL,White,2500,2023-06-10,2,4.3,Chandigarh,Havells Store,5,In Stock,24,Positive,No,NULL,Resolved,2023-07-15,Chandigarh,Havells V3 400mm Pedestal Fan,user808
12,Air Conditioner,Window AC,Lloyd GLW18B32WADS,1.5,NULL,NULL,NULL,NULL,Auto Restart,3,White,32000,2023-05-25,1,4,Surat,Reliance Digital,10,In Stock,12,Positive,No,NULL,Resolved,2023-06-30,Surat,Lloyd 1.5 Ton 3 Star Window AC,user909
13,Washing Machine,Front Load,Lloyd LWMF80,NULL,NULL,8,NULL,Inverter Motor,Steam Wash,5,Silver,30000,2023-04-15,2,4.5,Indore,Amazon,15,In Stock,24,Positive,No,NULL,Resolved,2023-05-20,Indore,Lloyd 8 kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine,user111
14,Refrigerator,Double Door,Lloyd GLFF282EDST1EB,NULL,282,NULL,NULL,Frost Free,Twist Ice Maker,2,Steel,25000,2023-03-05,1,4.1,Nagpur,Flipkart,12,In Stock,12,Positive,No,NULL,Resolved,2023-04-10,Nagpur,Lloyd 282 L 2 Star Frost Free Double Door Refrigerator,user222
15,Water Purifier,UV,Pro,NULL,8,NULL,NULL,UV+UF,iProtect,NULL,White,9000,2023-02-20,1,4.4,Coimbatore,Tata Cliq,10,In Stock,12,Positive,No,NULL,Resolved,2023-03-25,Coimbatore,Havells Pro 8-litres UV+UF Water Purifier,user333
16,Fans,Wall Fan,Swing,NULL,NULL,NULL,NULL,NULL,Remote Control,NULL,White,2000,2023-06-18,2,4.2,Bhopal,Amazon,8,In Stock,24,Positive,No,NULL,Resolved,2023-07-22,Bhopal,Havells Swing 400mm Wall Fan,user444
17,Air Cooler,Desert,Brina,NULL,50,NULL,NULL,Honeycomb Pads,Auto Fill,NULL,White,8000,2023-05-02,1,3.8,Ludhiana,Croma,10,Out of Stock,12,Neutral,No,NULL,Resolved,2023-06-06,Ludhiana,Havells Brina 50L Desert Air Cooler,user555
18,Dishwasher,NULL,Lloyd Puro Hygiene+ Mini,NULL,NULL,NULL,8,NULL,Compact,NULL,White,20000,2023-04-28,2,4.6,Visakhapatnam,Vijay Sales,15,In Stock,24,Positive,No,NULL,Resolved,2023-06-02,Visakhapatnam,Lloyd Puro Hygiene+ Mini 8 Place Settings Dishwasher,user666
19,Geyser,Instant,Instanio,NULL,3,NULL,NULL,Color changing LED,Fire-retardant cable,NULL,White,3500,2023-03-12,2,4.5,Patna,Flipkart,12,In Stock,24,Positive,No,NULL,Resolved,2023-04-16,Patna,Havells Instanio 3 L Instant Water Heater,user777
20,Kitchen Appliances,Induction Cooktop,Insta Cook,NULL,NULL,NULL,NULL,Soft-touch buttons,Auto-pan detection,NULL,Black,3000,2023-02-25,1,4.3,Agra,Amazon,10,In Stock,12,Positive,No,NULL,Resolved,2023-04-01,Agra,Havells Insta Cook PT 1600-Watt Induction Cooktop,user888
21,Fans,Ceiling Fan,Trinity,NULL,NULL,NULL,NULL,BLDC Motor,Underlight,5,Bronze,7000,2023-01-15,2,4.6,Kanpur,Havells Store,5,In Stock,24,Positive,No,NULL,Resolved,2023-02-20,Kanpur,Havells Trinity 1200mm Underlight Ceiling Fan,user999
22,Air Conditioner,Split AC,Lloyd GLS24I3FWSEL,2,NULL,NULL,NULL,Inverter,Wi-fi Enabled,3,White,55000,2023-05-08,1,4.1,Varanasi,Reliance Digital,10,In Stock,12,Positive,No,NULL,Resolved,2023-06-12,Varanasi,Lloyd 2 Ton 3 Star Inverter Split AC,user112
23,Washing Machine,Semi-Automatic,Lloyd LWMS72,NULL,NULL,7.2,NULL,3 Wash Program,Castor Wheels,5,Maroon,10000,2023-04-22,2,3.9,Ghaziabad,Amazon,8,In Stock,24,Neutral,No,NULL,Resolved,2023-05-27,Ghaziabad,Lloyd 7.2 kg Semi-Automatic Top Loading Washing Machine,user223
